trend_alignment,breakout_strength,multi_tap_score,atr_ratio,label
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
False,0.0,0.0,0.5,1
